age,workclass,education,marital.status,occupation,race,sex,hours.per.week,income
49,Self-emp-not-inc,HS-grad,Married,Craft-repair,White,Male,40,1
19,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,50,0
26,Private,HS-grad,Never-married,Craft-repair,White,Male,40,0
38,Self-emp-not-inc,HS-grad,Married,Transport-moving,White,Male,40,1
31,Private,Some-college,Never-married,Adm-clerical,White,Female,43,0
36,Self-emp-inc,Assoc,Separated,Exec-managerial,White,Male,50,0
31,Private,Bachelors,Married,Exec-managerial,White,Male,60,1
30,Private,Bachelors,Married,Tech-support,White,Male,40,0
37,Private,HS-grad,Married,Prof-specialty,White,Male,40,1
30,Private,Bachelors,Never-married,Prof-specialty,Black,Male,50,1
73,Private,10th,Widowed,Other-service,White,Female,10,0
38,Federal-gov,Masters,Married,Exec-managerial,White,Male,40,1
30,Private,10th,Never-married,Craft-repair,White,Male,50,0
33,Private,HS-grad,Married,Craft-repair,White,Male,50,1
58,Private,Some-college,Divorced,Adm-clerical,White,Female,46,0
34,Local-gov,Masters,Never-married,Prof-specialty,White,Female,50,0
35,Private,HS-grad,Married,Craft-repair,White,Male,40,0
59,Federal-gov,HS-grad,Married,Craft-repair,White,Male,40,1
45,Private,Bachelors,Divorced,Exec-managerial,White,Female,40,0
27,Private,Some-college,Never-married,Transport-moving,White,Male,48,0
31,Local-gov,Doctorate,Never-married,Prof-specialty,White,Male,50,1
45,Private,Some-college,Never-married,Farming-fishing,White,Male,50,0
40,Private,HS-grad,Separated,Other-service,White,Female,25,0
27,Private,Prof-school,Married,Adm-clerical,White,Male,40,0
19,Private,HS-grad,Never-married,Other-service,White,Male,20,0
29,Private,5th-6th,Never-married,Other-service,White,Male,25,0
34,Self-emp-inc,Some-college,Married,Farming-fishing,White,Male,72,0
32,State-gov,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,0
49,Private,11th,Married,Craft-repair,White,Male,40,0
33,Private,11th,Divorced,Exec-managerial,White,Female,40,1
62,Private,Bachelors,Married,Prof-specialty,White,Male,50,1
39,Self-emp-not-inc,HS-grad,Married,Exec-managerial,White,Male,40,0
43,Private,HS-grad,Divorced,Exec-managerial,White,Female,40,0
22,Private,Some-college,Never-married,Tech-support,White,Female,60,0
24,Private,HS-grad,Married,Transport-moving,White,Male,45,0
25,Private,Some-college,Never-married,Other-service,Black,Female,40,0
19,Private,Some-college,Never-married,Sales,White,Female,28,0
31,Private,Assoc,Divorced,Adm-clerical,White,Female,41,0
53,Private,11th,Divorced,Craft-repair,White,Female,40,0
61,Private,HS-grad,Married,Adm-clerical,White,Male,3,0
47,Private,Bachelors,Married,Other-service,White,Male,40,0
37,Private,HS-grad,Divorced,Adm-clerical,White,Female,45,0
50,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,White,Male,30,0
27,Private,Some-college,Never-married,Sales,White,Male,44,0
58,Private,HS-grad,Divorced,Adm-clerical,White,Female,40,0
43,Private,HS-grad,Married,Handlers-cleaners,Black,Male,40,0
39,Private,Assoc,Married-civ-spouse,Adm-clerical,White,Male,40,0
36,Private,Some-college,Never-married,Sales,White,Female,35,0
56,Private,Bachelors,Married,Prof-specialty,White,Male,50,0
26,Private,HS-grad,Married,Farming-fishing,White,Male,55,0
23,Private,Bachelors,Never-married,Prof-specialty,White,Female,38,0
47,Private,11th,Never-married,Transport-moving,Black,Male,40,0
68,Private,12th,Widowed,Sales,White,Female,30,0
47,Local-gov,Some-college,Never-married,Protective-serv,Black,Male,40,0
26,Private,Some-college,Married,Exec-managerial,White,Male,60,0
46,Private,Some-college,Never-married,Adm-clerical,White,Female,40,0
37,Private,Assoc,Married-civ-spouse,Tech-support,White,Male,50,1
37,Private,Some-college,Married,Craft-repair,White,Male,45,0
43,Private,Some-college,Married,Transport-moving,White,Male,42,0
59,Private,Masters,Widowed,Prof-specialty,White,Female,40,0
39,Private,HS-grad,Divorced,Adm-clerical,White,Female,40,0
63,Private,Some-college,Married,Prof-specialty,White,Male,16,0
45,Private,Bachelors,Married,Prof-specialty,White,Male,60,1
59,Private,Bachelors,Divorced,Adm-clerical,White,Female,40,0
26,Private,HS-grad,Never-married,Tech-support,White,Male,40,0
34,Private,HS-grad,Divorced,Adm-clerical,White,Female,40,0
41,Private,HS-grad,Married,Craft-repair,White,Male,40,1
26,Private,HS-grad,Never-married,Handlers-cleaners,Black,Male,40,0
53,Private,HS-grad,Divorced,Machine-op-inspct,White,Female,40,0
33,Private,HS-grad,Married,Adm-clerical,White,Female,35,1
46,Private,Bachelors,Married,Exec-managerial,White,Male,50,1
31,Private,HS-grad,Widowed,Craft-repair,White,Female,40,0
24,Private,HS-grad,Separated,Other-service,White,Male,40,0
57,Local-gov,HS-grad,Divorced,Adm-clerical,White,Female,62,0
40,Private,HS-grad,Separated,Other-service,White,Female,47,0
20,Private,Some-college,Never-married,Adm-clerical,White,Male,26,0
45,Private,11th,Never-married,Machine-op-inspct,Black,Female,40,0
27,Private,Assoc,Separated,Adm-clerical,White,Female,40,0
36,Private,5th-6th,Married,Craft-repair,White,Male,40,0
30,Private,HS-grad,Married,Craft-repair,White,Male,40,0
36,Private,Bachelors,Married,Prof-specialty,White,Female,40,1
25,Private,HS-grad,Married,Farming-fishing,Other,Male,40,0
31,Private,HS-grad,Married,Adm-clerical,White,Female,40,0
26,Private,11th,Never-married,Handlers-cleaners,White,Male,20,0
25,Private,Bachelors,Never-married,Prof-specialty,White,Male,40,0
29,Private,Assoc,Never-married,Adm-clerical,White,Female,40,0
41,Private,HS-grad,Married,Adm-clerical,White,Male,40,1
35,Private,Masters,Never-married,Exec-managerial,White,Male,40,1
57,Self-emp-inc,Bachelors,Married,Sales,White,Female,40,1
21,Private,11th,Never-married,Priv-house-serv,White,Female,40,0
29,Private,10th,Never-married,Other-service,Black,Female,32,0
36,Private,Some-college,Married,Exec-managerial,White,Male,40,0
20,Private,Some-college,Never-married,Adm-clerical,White,Female,25,0
51,Private,Bachelors,Married,Exec-managerial,White,Male,40,1
39,Private,11th,Married,Machine-op-inspct,White,Male,40,0
61,Private,HS-grad,Married,Exec-managerial,White,Male,50,0
38,Private,Prof-school,Married,Prof-specialty,White,Male,60,0
21,Private,HS-grad,Separated,Other-service,White,Female,35,0
40,Private,HS-grad,Divorced,Tech-support,White,Female,40,0
46,Private,10th,Married,Craft-repair,White,Male,45,0
21,Private,Some-college,Married,Craft-repair,White,Male,54,0
35,Self-emp-not-inc,10th,Married,Transport-moving,Black,Male,50,0
39,Private,Bachelors,Married,Sales,White,Male,40,0
38,Self-emp-not-inc,HS-grad,Married,Craft-repair,White,Male,60,0
30,Private,HS-grad,Separated,Adm-clerical,White,Female,40,0
28,Private,9th,Never-married,Machine-op-inspct,Other,Male,40,0
32,Private,Bachelors,Married,Exec-managerial,White,Male,40,1
46,Self-emp-not-inc,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,1
40,Private,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,0
44,Private,10th,Married,Transport-moving,White,Male,40,0
46,Self-emp-not-inc,Bachelors,Married,Farming-fishing,White,Male,40,1
20,Private,Some-college,Never-married,Other-service,White,Female,20,0
44,Private,Bachelors,Married,Prof-specialty,White,Male,45,0
33,Private,Assoc,Married-civ-spouse,Farming-fishing,White,Male,45,0
18,Private,HS-grad,Never-married,Other-service,White,Female,30,0
61,Self-emp-inc,Prof-school,Separated,Prof-specialty,White,Male,40,1
50,State-gov,Bachelors,Never-married,Exec-managerial,White,Female,40,0
47,Federal-gov,HS-grad,Never-married,Machine-op-inspct,Black,Male,40,0
34,Private,Bachelors,Married,Exec-managerial,White,Male,50,1
53,Private,HS-grad,Married,Transport-moving,Black,Male,60,0
39,Self-emp-not-inc,Some-college,Married,Craft-repair,White,Male,40,0
58,Private,HS-grad,Married,Craft-repair,White,Male,40,1
26,Private,11th,Never-married,Farming-fishing,White,Male,50,0
41,Private,5th-6th,Married,Adm-clerical,White,Male,40,0
47,Local-gov,Some-college,Married,Exec-managerial,White,Male,40,0
31,Private,Assoc,Married-civ-spouse,Machine-op-inspct,Amer-Indian-Eskimo,Male,40,0
52,Private,Some-college,Married,Exec-managerial,White,Male,40,1
29,Private,Assoc,Married-civ-spouse,Sales,White,Male,50,1
43,Private,9th,Separated,Handlers-cleaners,Black,Female,50,0
42,Federal-gov,Masters,Married,Exec-managerial,White,Male,40,1
35,Private,Some-college,Never-married,Machine-op-inspct,Black,Female,30,0
52,Self-emp-not-inc,Some-college,Married,Craft-repair,White,Male,40,0
61,Private,Some-college,Married,Craft-repair,White,Male,40,0
39,Local-gov,HS-grad,Separated,Exec-managerial,White,Male,40,0
19,Private,Some-college,Never-married,Sales,White,Female,25,0
39,Private,Some-college,Never-married,Exec-managerial,White,Male,45,0
22,Private,Some-college,Never-married,Other-service,White,Male,50,0
30,State-gov,HS-grad,Separated,Adm-clerical,White,Female,40,0
40,Private,Assoc,Divorced,Other-service,White,Female,32,0
37,Private,5th-6th,Married,Farming-fishing,White,Male,36,0
23,Private,Assoc,Never-married,Other-service,White,Male,20,0
39,Local-gov,Assoc,Divorced,Prof-specialty,White,Male,59,0
54,Private,Masters,Married,Sales,White,Male,40,0
46,Self-emp-inc,Some-college,Married,Sales,White,Male,60,0
20,Private,Some-college,Never-married,Transport-moving,White,Female,40,0
50,Self-emp-not-inc,Bachelors,Married,Tech-support,White,Female,50,1
17,Private,10th,Never-married,Sales,White,Female,15,0
36,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,0
37,Private,HS-grad,Married,Sales,White,Male,45,0
53,Private,HS-grad,Divorced,Other-service,White,Female,38,0
50,Private,HS-grad,Married,Transport-moving,White,Male,40,1
38,Private,HS-grad,Married,Craft-repair,White,Male,40,0
63,Self-emp-not-inc,HS-grad,Married,Craft-repair,White,Male,32,0
53,Private,HS-grad,Married,Craft-repair,White,Male,50,1
23,Self-emp-inc,Some-college,Never-married,Prof-specialty,White,Male,50,0
20,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,43,0
46,Private,Some-college,Married,Craft-repair,Black,Male,40,1
28,Private,10th,Never-married,Other-service,Amer-Indian-Eskimo,Male,40,0
59,Private,Masters,Divorced,Prof-specialty,White,Male,50,0
41,Private,Bachelors,Married,Exec-managerial,White,Male,40,1
33,Private,Preschool,Married,Farming-fishing,White,Male,40,0
56,Private,12th,Married,Craft-repair,White,Male,40,0
31,Local-gov,Bachelors,Never-married,Exec-managerial,White,Female,50,0
41,Private,Assoc,Divorced,Sales,White,Male,50,0
25,State-gov,Assoc,Never-married,Adm-clerical,White,Female,40,0
49,Local-gov,Bachelors,Divorced,Prof-specialty,Black,Female,40,0
39,Private,Some-college,Never-married,Machine-op-inspct,White,Male,40,0
21,Private,Some-college,Never-married,Prof-specialty,White,Female,25,0
35,Private,Bachelors,Married,Sales,White,Male,40,0
38,Private,HS-grad,Married,Craft-repair,White,Male,40,1
31,Private,HS-grad,Divorced,Transport-moving,White,Male,55,0
17,Self-emp-inc,11th,Never-married,Prof-specialty,White,Male,20,0
25,Local-gov,Bachelors,Never-married,Prof-specialty,White,Male,40,0
39,Private,Masters,Married,Exec-managerial,White,Male,55,1
50,Private,7th-8th,Married,Machine-op-inspct,White,Male,40,0
38,Local-gov,Bachelors,Married,Prof-specialty,White,Female,20,1
50,Private,Some-college,Married,Sales,White,Male,60,0
63,Private,10th,Married,Exec-managerial,White,Male,40,0
31,Private,HS-grad,Married,Transport-moving,White,Male,50,0
23,Private,Bachelors,Never-married,Prof-specialty,White,Female,40,0
18,Private,Some-college,Never-married,Other-service,White,Male,20,0
43,Local-gov,Bachelors,Divorced,Prof-specialty,White,Female,48,0
34,Private,Some-college,Married,Exec-managerial,White,Male,50,1
18,Private,11th,Never-married,Sales,White,Male,35,0
35,Private,Bachelors,Never-married,Sales,White,Female,40,1
46,State-gov,Masters,Never-married,Exec-managerial,White,Female,38,0
31,Private,7th-8th,Never-married,Handlers-cleaners,White,Female,30,0
27,Private,HS-grad,Divorced,Sales,White,Female,37,0
41,Private,Masters,Married,Prof-specialty,White,Male,40,0
55,Private,Bachelors,Married,Exec-managerial,White,Male,40,1
44,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,40,0
36,Private,Assoc,Married-civ-spouse,Prof-specialty,White,Female,40,1
33,Private,Some-college,Never-married,Adm-clerical,White,Female,40,0
30,Private,Assoc,Married-civ-spouse,Prof-specialty,White,Male,40,0
35,Private,HS-grad,Married,Other-service,White,Female,16,1
25,Private,Bachelors,Never-married,Exec-managerial,White,Female,40,1
18,Private,11th,Never-married,Other-service,Black,Male,15,0
35,Self-emp-not-inc,Some-college,Married,Craft-repair,White,Male,60,1
20,Private,HS-grad,Married,Handlers-cleaners,White,Male,50,0
46,Private,Bachelors,Married,Tech-support,White,Male,40,0
31,Private,Bachelors,Never-married,Prof-specialty,White,Female,36,0
31,Private,Bachelors,Never-married,Exec-managerial,White,Female,40,0
32,Self-emp-not-inc,Doctorate,Married,Exec-managerial,White,Male,40,0
23,Self-emp-not-inc,Some-college,Divorced,Adm-clerical,White,Male,40,0
25,Local-gov,Masters,Never-married,Protective-serv,White,Male,40,0
37,Private,Some-college,Married,Transport-moving,White,Male,50,0
18,Private,Some-college,Never-married,Sales,White,Female,20,0
55,Private,HS-grad,Widowed,Sales,White,Female,38,0
52,Private,9th,Divorced,Craft-repair,White,Female,40,0
26,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,0
37,Private,Some-college,Never-married,Tech-support,White,Male,40,1
39,Private,HS-grad,Divorced,Exec-managerial,White,Female,45,0
62,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,White,Female,40,1
47,Private,HS-grad,Married,Craft-repair,White,Male,45,1
51,Local-gov,Bachelors,Married,Protective-serv,White,Male,40,1
55,Private,HS-grad,Divorced,Other-service,White,Female,40,0
30,Private,HS-grad,Married,Craft-repair,White,Male,35,0
59,Federal-gov,Some-college,Married,Craft-repair,White,Male,36,0
45,Self-emp-not-inc,10th,Married,Craft-repair,White,Male,65,0
21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,20,0
31,Private,HS-grad,Married,Machine-op-inspct,White,Male,55,0
29,Private,Some-college,Never-married,Adm-clerical,Black,Male,40,0
24,Private,HS-grad,Married,Handlers-cleaners,White,Male,40,0
17,Private,10th,Never-married,Other-service,White,Male,24,0
47,Private,HS-grad,Divorced,Machine-op-inspct,Black,Female,40,0
46,Private,Some-college,Married,Sales,White,Male,50,1
63,Private,12th,Married,Transport-moving,White,Male,40,0
21,Private,Some-college,Never-married,Other-service,White,Male,25,0
18,Private,HS-grad,Never-married,Other-service,Black,Male,36,0
49,State-gov,Doctorate,Married,Exec-managerial,White,Male,50,1
81,Self-emp-not-inc,HS-grad,Widowed,Adm-clerical,White,Female,20,0
36,Self-emp-inc,Assoc,Married-civ-spouse,Exec-managerial,White,Male,40,1
47,Private,HS-grad,Married,Craft-repair,White,Male,40,1
36,Private,Masters,Married,Sales,White,Male,50,1
39,Self-emp-not-inc,Assoc,Married-civ-spouse,Farming-fishing,White,Male,60,0
46,Private,Bachelors,Never-married,Sales,White,Female,35,0
39,Local-gov,Bachelors,Divorced,Adm-clerical,White,Female,35,0
29,Private,Some-college,Separated,Sales,White,Female,40,0
23,Private,HS-grad,Never-married,Handlers-cleaners,Black,Female,16,0
57,Private,10th,Married,Craft-repair,White,Male,43,0
38,Self-emp-not-inc,HS-grad,Never-married,Sales,Black,Female,42,0
25,Private,Bachelors,Never-married,Sales,White,Female,40,0
39,Local-gov,Some-college,Married,Exec-managerial,White,Male,40,0
24,Private,Some-college,Never-married,Sales,Black,Male,40,0
39,Private,12th,Divorced,Sales,White,Female,40,0
23,Private,Assoc,Never-married,Sales,White,Female,60,0
41,Private,Bachelors,Never-married,Adm-clerical,Asian-Pac-Islander,Male,50,0
24,Local-gov,Bachelors,Never-married,Prof-specialty,White,Female,50,0
30,Self-emp-inc,HS-grad,Divorced,Other-service,White,Female,60,0
56,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,32,0
51,Private,HS-grad,Divorced,Craft-repair,White,Male,38,0
57,Self-emp-not-inc,Some-college,Married,Exec-managerial,White,Male,55,0
34,Private,Some-college,Divorced,Other-service,White,Female,40,0
24,Private,Bachelors,Never-married,Prof-specialty,White,Male,40,0
57,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,0
38,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,1
23,Private,HS-grad,Never-married,Tech-support,White,Female,40,0
35,Private,7th-8th,Married,Machine-op-inspct,White,Male,40,0
58,Private,HS-grad,Married,Craft-repair,White,Male,52,0
17,Private,11th,Never-married,Other-service,White,Female,20,0
37,Self-emp-inc,Doctorate,Married,Prof-specialty,Black,Male,99,1
63,Private,HS-grad,Married,Craft-repair,White,Male,40,1
31,Private,Some-college,Married,Transport-moving,White,Male,50,0
29,Private,HS-grad,Married,Other-service,White,Male,40,0
27,Private,Prof-school,Never-married,Prof-specialty,White,Female,65,1
25,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Male,32,0
28,Private,HS-grad,Never-married,Prof-specialty,White,Female,40,0
54,Private,HS-grad,Divorced,Sales,White,Female,35,0
31,Local-gov,Some-college,Never-married,Exec-managerial,Amer-Indian-Eskimo,Female,32,0
23,Private,Some-college,Never-married,Tech-support,White,Male,48,0
19,Private,Bachelors,Never-married,Prof-specialty,White,Female,30,0
27,Self-emp-inc,Assoc,Married-civ-spouse,Other-service,White,Female,36,1
19,Private,Some-college,Never-married,Adm-clerical,Black,Female,20,0
25,Local-gov,HS-grad,Divorced,Adm-clerical,Amer-Indian-Eskimo,Female,35,0
40,Private,Some-college,Married,Tech-support,White,Male,48,1
53,Private,11th,Divorced,Other-service,White,Female,37,0
32,Private,Bachelors,Never-married,Prof-specialty,White,Male,45,0
61,Private,7th-8th,Married,Transport-moving,White,Male,40,0
42,Private,HS-grad,Married,Sales,White,Male,40,0
73,Private,HS-grad,Married,Transport-moving,White,Male,16,0
41,Self-emp-not-inc,Some-college,Separated,Craft-repair,White,Male,40,0
23,Private,Some-college,Never-married,Machine-op-inspct,Black,Female,20,0
23,Private,HS-grad,Never-married,Prof-specialty,White,Female,40,0
65,Private,Assoc,Married-civ-spouse,Adm-clerical,White,Male,15,0
45,Self-emp-inc,HS-grad,Married,Sales,White,Female,50,0
24,Local-gov,Bachelors,Never-married,Adm-clerical,Black,Female,27,0
23,Private,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,0
30,Private,Some-college,Divorced,Tech-support,White,Female,40,0
26,Private,Bachelors,Never-married,Exec-managerial,White,Male,40,0
37,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,White,Male,56,0
17,Private,HS-grad,Never-married,Other-service,White,Male,40,0
31,Private,HS-grad,Married,Sales,White,Male,40,0
52,Private,HS-grad,Separated,Adm-clerical,White,Female,40,0
63,Private,Bachelors,Never-married,Sales,White,Male,27,0
27,Private,HS-grad,Never-married,Priv-house-serv,White,Female,60,0
71,Self-emp-not-inc,HS-grad,Widowed,Adm-clerical,White,Female,35,0
35,Private,Bachelors,Married,Exec-managerial,White,Male,60,0
44,Private,HS-grad,Married,Adm-clerical,White,Female,38,0
36,Private,Masters,Married,Prof-specialty,Asian-Pac-Islander,Male,40,0
22,Private,Bachelors,Never-married,Exec-managerial,White,Female,20,0
30,Local-gov,Bachelors,Divorced,Prof-specialty,White,Female,40,0
25,Private,Some-college,Never-married,Adm-clerical,White,Female,40,0
76,Private,7th-8th,Widowed,Protective-serv,White,Female,12,0
41,Private,HS-grad,Divorced,Craft-repair,White,Male,40,0
26,Private,7th-8th,Married,Machine-op-inspct,Other,Male,40,0
32,Private,Some-college,Divorced,Adm-clerical,White,Female,40,0
22,Private,HS-grad,Never-married,Craft-repair,White,Male,40,0
63,Self-emp-not-inc,Bachelors,Never-married,Transport-moving,White,Male,40,0
23,Private,Assoc,Never-married,Transport-moving,White,Female,40,0
61,Private,10th,Married,Machine-op-inspct,White,Male,40,0
31,State-gov,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,0
25,Private,9th,Married,Machine-op-inspct,White,Male,45,0
39,Private,HS-grad,Married,Sales,White,Female,36,0
53,Private,Bachelors,Married,Machine-op-inspct,Asian-Pac-Islander,Female,40,0
26,Federal-gov,Bachelors,Never-married,Exec-managerial,White,Female,40,0
21,Private,Some-college,Never-married,Other-service,White,Male,32,0
18,Private,HS-grad,Never-married,Adm-clerical,Black,Male,40,0
31,Private,HS-grad,Divorced,Craft-repair,White,Male,50,0
44,Private,HS-grad,Married,Transport-moving,White,Male,40,1
43,Private,HS-grad,Married,Machine-op-inspct,White,Male,44,0
21,Private,Some-college,Never-married,Sales,Black,Female,30,0
30,Private,HS-grad,Married,Handlers-cleaners,White,Male,40,1
55,Private,HS-grad,Married,Transport-moving,White,Male,60,0
57,Private,Some-college,Never-married,Adm-clerical,White,Female,40,0
37,Private,HS-grad,Never-married,Farming-fishing,White,Male,50,0
32,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,1
62,Self-emp-not-inc,Bachelors,Married,Prof-specialty,White,Male,60,1
31,Self-emp-not-inc,Bachelors,Never-married,Sales,Black,Male,40,1
51,Private,Bachelors,Married,Exec-managerial,White,Male,50,1
45,Private,5th-6th,Married,Transport-moving,White,Male,38,0
47,Private,Some-college,Married,Machine-op-inspct,White,Male,40,0
75,Self-emp-not-inc,11th,Married,Exec-managerial,White,Male,30,0
43,Private,Masters,Married,Prof-specialty,Other,Male,50,0
30,Private,Bachelors,Married,Prof-specialty,White,Male,40,1
27,Private,5th-6th,Never-married,Handlers-cleaners,White,Male,40,0
44,Private,HS-grad,Married,Machine-op-inspct,Amer-Indian-Eskimo,Male,40,0
53,Local-gov,Masters,Divorced,Prof-specialty,White,Female,35,1
40,Private,Bachelors,Married,Adm-clerical,White,Male,40,0
18,Private,11th,Never-married,Sales,White,Female,20,0
33,Private,Bachelors,Married,Protective-serv,Black,Male,40,0
20,Private,HS-grad,Never-married,Sales,White,Male,40,0
38,Private,Some-college,Married,Exec-managerial,Black,Male,50,0
48,Private,HS-grad,Divorced,Adm-clerical,White,Female,35,0
46,Self-emp-not-inc,HS-grad,Married,Exec-managerial,White,Male,40,0
51,Private,HS-grad,Married,Craft-repair,White,Male,40,0
35,Self-emp-not-inc,HS-grad,Never-married,Other-service,White,Female,30,0
24,Private,7th-8th,Never-married,Handlers-cleaners,White,Male,40,0
30,Private,Some-college,Divorced,Handlers-cleaners,White,Male,50,0
70,Private,HS-grad,Married,Exec-managerial,White,Male,30,0
26,Private,HS-grad,Married,Transport-moving,White,Male,44,0
46,Private,HS-grad,Married,Craft-repair,White,Male,40,1
70,Private,HS-grad,Married,Adm-clerical,White,Female,5,0
37,Local-gov,Some-college,Married,Other-service,White,Male,40,0
36,Self-emp-not-inc,Some-college,Divorced,Sales,White,Female,35,0
23,Private,9th,Never-married,Machine-op-inspct,White,Female,40,0
44,Self-emp-not-inc,Some-college,Married,Exec-managerial,White,Male,50,1
53,Private,Some-college,Married,Exec-managerial,White,Male,60,1
23,Private,Some-college,Married,Handlers-cleaners,White,Male,40,0
26,Private,HS-grad,Never-married,Craft-repair,Black,Male,40,0
34,Local-gov,Masters,Divorced,Prof-specialty,White,Female,50,0
43,Private,11th,Married,Craft-repair,White,Male,40,0
22,Private,Some-college,Never-married,Other-service,Black,Male,20,0
36,Private,HS-grad,Married,Adm-clerical,Asian-Pac-Islander,Male,40,0
42,Self-emp-not-inc,Some-college,Married,Farming-fishing,White,Male,60,0
27,Private,Assoc,Never-married,Adm-clerical,White,Female,35,0
41,Private,HS-grad,Divorced,Protective-serv,White,Male,40,0
32,Private,Bachelors,Married,Exec-managerial,Asian-Pac-Islander,Female,40,1
21,Private,Some-college,Never-married,Adm-clerical,Asian-Pac-Islander,Male,20,0
44,Private,Bachelors,Married,Exec-managerial,Black,Male,50,1
29,Private,Bachelors,Never-married,Exec-managerial,White,Male,40,0
19,Self-emp-not-inc,Some-college,Never-married,Other-service,White,Female,22,0
21,Local-gov,Some-college,Never-married,Adm-clerical,White,Male,40,0
46,Private,HS-grad,Married,Transport-moving,White,Male,40,0
38,Private,Bachelors,Married,Exec-managerial,White,Male,55,1
43,Private,Some-college,Never-married,Adm-clerical,White,Male,48,1
54,Self-emp-inc,HS-grad,Married,Sales,White,Male,50,1
50,Private,HS-grad,Married,Adm-clerical,White,Female,40,1
30,Private,Assoc,Married-civ-spouse,Prof-specialty,White,Female,36,1
30,Private,9th,Married,Craft-repair,White,Male,40,0
28,Local-gov,HS-grad,Never-married,Exec-managerial,Amer-Indian-Eskimo,Female,35,0
26,Private,Assoc,Never-married,Adm-clerical,White,Female,45,0
37,Federal-gov,Some-college,Married,Craft-repair,White,Male,43,0
64,State-gov,Masters,Married,Prof-specialty,White,Female,5,1
18,Private,HS-grad,Never-married,Sales,White,Female,28,0
30,Private,Some-college,Married,Adm-clerical,White,Male,30,0
18,Private,11th,Never-married,Other-service,Black,Male,30,0
27,Private,HS-grad,Married,Craft-repair,White,Male,40,0
49,Private,9th,Married,Other-service,White,Male,40,0
46,State-gov,HS-grad,Married,Other-service,White,Male,43,1
37,Private,HS-grad,Married,Adm-clerical,White,Male,40,0
30,Private,Some-college,Divorced,Transport-moving,White,Male,40,0
29,Private,HS-grad,Divorced,Prof-specialty,Other,Female,30,0
25,Self-emp-not-inc,HS-grad,Married,Farming-fishing,White,Male,30,0
38,Private,HS-grad,Separated,Priv-house-serv,Black,Female,30,0
35,Private,Some-college,Married,Craft-repair,White,Male,50,0
56,Private,Masters,Married,Adm-clerical,White,Male,80,1
29,Private,Some-college,Divorced,Exec-managerial,White,Female,40,0
41,Private,HS-grad,Married,Tech-support,White,Male,40,0
47,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,0
23,Private,Bachelors,Never-married,Adm-clerical,Asian-Pac-Islander,Female,40,0
46,Self-emp-not-inc,Bachelors,Married,Sales,White,Male,45,1
39,Private,Bachelors,Divorced,Adm-clerical,White,Female,20,0
42,Self-emp-not-inc,Some-college,Married,Farming-fishing,White,Female,50,0
57,Private,Prof-school,Never-married,Prof-specialty,White,Female,40,0
22,Private,Some-college,Never-married,Other-service,Black,Female,30,0
24,Private,Assoc,Never-married,Adm-clerical,White,Male,30,1
19,Private,Some-college,Never-married,Handlers-cleaners,White,Male,50,0
55,Private,Assoc,Divorced,Sales,Black,Female,30,0
37,Local-gov,HS-grad,Married,Protective-serv,White,Male,40,0
37,Local-gov,Some-college,Never-married,Adm-clerical,Black,Female,40,0
28,Private,Bachelors,Married,Other-service,White,Male,50,0
27,Private,HS-grad,Never-married,Other-service,White,Female,40,0
40,State-gov,Bachelors,Never-married,Prof-specialty,White,Female,20,0
51,Private,HS-grad,Divorced,Priv-house-serv,White,Female,40,0
52,Private,Assoc,Married-civ-spouse,Transport-moving,White,Male,56,0
40,Federal-gov,Some-college,Divorced,Adm-clerical,White,Female,50,0
63,Private,Some-college,Married,Protective-serv,White,Male,40,0
63,Private,HS-grad,Divorced,Transport-moving,White,Male,45,1
51,Private,Some-college,Divorced,Adm-clerical,White,Female,40,0
23,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,0
66,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,White,Male,20,0
33,Self-emp-not-inc,HS-grad,Married,Sales,White,Male,66,0
49,Private,HS-grad,Married,Craft-repair,White,Male,43,0
20,Private,Some-college,Never-married,Transport-moving,White,Male,32,0
26,Private,Some-college,Married,Protective-serv,White,Male,40,0
52,Private,HS-grad,Married,Exec-managerial,White,Male,50,1
33,Private,Bachelors,Married,Exec-managerial,White,Male,50,1
47,Private,Bachelors,Divorced,Sales,White,Male,45,0
23,Private,HS-grad,Never-married,Exec-managerial,Black,Male,75,0
