age,workclass,education,marital.status,hours.per.week,sex,race,income
25,Local-gov,Bachelors,Never-married,40,Male,White,0
50,Self-emp-not-inc,HS-grad,Married,60,Male,White,0
34,Private,Some-college,Married,40,Female,White,0
58,Private,HS-grad,Married,35,Female,White,0
59,Private,HS-grad,Married,45,Male,White,1
66,Private,HS-grad,Divorced,40,Female,Black,0
42,Private,Assoc,Widowed,40,Female,Black,0
40,Private,Assoc,Never-married,40,Female,Black,0
44,Self-emp-not-inc,Some-college,Married,40,Female,White,0
44,Private,Some-college,Married,40,Male,White,1
19,Private,Some-college,Never-married,20,Female,White,0
19,Private,HS-grad,Never-married,40,Male,White,0
44,Private,HS-grad,Divorced,46,Male,White,0
70,Private,11th,Widowed,36,Female,White,0
27,Private,Bachelors,Never-married,50,Male,White,1
24,Private,Assoc,Never-married,50,Female,White,0
21,Private,Assoc,Never-married,15,Male,White,0
25,Private,12th,Never-married,25,Male,Black,0
30,Private,10th,Never-married,25,Male,White,0
41,Private,Assoc,Married,48,Male,White,1
39,Private,Some-college,Married,30,Female,White,0
58,Private,HS-grad,Married,40,Male,Black,1
57,Private,Assoc,Married,50,Female,Black,1
27,Private,Masters,Never-married,40,Female,Black,1
57,Private,Some-college,Married,40,Female,Black,0
36,Private,12th,Never-married,40,Male,Black,0
31,Private,Assoc,Divorced,70,Male,White,1
54,Private,Bachelors,Divorced,42,Female,White,0
55,Private,Some-college,Divorced,50,Male,White,0
35,Self-emp-inc,Some-college,Married,18,Female,Black,0
38,Private,Some-college,Married,60,Male,Black,1
19,Private,HS-grad,Never-married,37,Male,Black,0
41,Local-gov,Assoc,Married,36,Female,White,0
42,Federal-gov,Some-college,Married,40,Male,White,1
56,Private,Bachelors,Never-married,38,Male,White,0
23,Federal-gov,Bachelors,Married,50,Male,White,0
23,Private,Bachelors,Married,40,Female,White,0
70,Private,Some-college,Widowed,40,Female,White,1
59,Self-emp-not-inc,Bachelors,Married,45,Female,Black,1
62,Self-emp-not-inc,Masters,Married,42,Male,Black,1
33,Private,Bachelors,Never-married,30,Male,White,0
49,Local-gov,Assoc,Divorced,40,Female,Black,0
67,Private,Prof-school,Married,40,Male,White,1
66,Self-emp-not-inc,Doctorate,Married,20,Female,White,0
54,Private,Some-college,Separated,45,Female,Black,0
25,Private,HS-grad,Never-married,40,Male,Black,0
54,Private,HS-grad,Separated,25,Male,Black,0
37,Private,Assoc,Married,40,Female,Asian-Pac-Islander,1
60,Private,Masters,Married,24,Female,Black,0
55,Private,10th,Married,40,Male,White,0
54,Private,7th-8th,Married,55,Female,White,0
36,Private,Some-college,Widowed,12,Female,Black,0
28,Private,10th,Never-married,15,Male,Black,0
58,Private,Bachelors,Divorced,40,Male,White,0
48,Private,Assoc,Divorced,40,Male,White,0
69,Self-emp-not-inc,Some-college,Married,40,Male,White,1
54,Private,Assoc,Married,20,Female,White,0
27,Private,HS-grad,Never-married,40,Female,Black,0
62,Local-gov,Masters,Married,40,Female,White,0
64,Self-emp-not-inc,12th,Married,40,Male,White,0
31,Private,Assoc,Never-married,40,Female,Black,0
62,Self-emp-not-inc,Bachelors,Married,40,Male,White,1
61,Private,HS-grad,Married,40,Female,White,0
54,Self-emp-inc,Prof-school,Married,50,Male,White,0
51,Private,Bachelors,Married,32,Female,White,0
40,State-gov,Bachelors,Married,40,Male,White,0
38,Private,Bachelors,Married,40,Female,White,0
43,Private,Some-college,Married,40,Male,White,0
41,Private,Bachelors,Married,40,Female,White,0
19,Private,Some-college,Never-married,25,Male,White,0
48,Private,Bachelors,Married,50,Male,White,1
49,Private,Prof-school,Married,35,Female,White,0
62,Self-emp-inc,Prof-school,Married,60,Male,White,1
29,Private,HS-grad,Married,40,Male,White,1
30,Private,12th,Married,40,Female,White,0
48,State-gov,Some-college,Separated,80,Female,Black,0
44,Private,HS-grad,Divorced,50,Male,White,0
61,Self-emp-not-inc,Bachelors,Never-married,40,Male,White,1
46,Private,10th,Separated,40,Female,Black,0
45,Private,Some-college,Married,50,Male,White,1
21,Private,Some-college,Never-married,50,Male,White,0
17,Private,11th,Never-married,15,Male,White,0
35,Private,Some-college,Married,50,Male,White,1
31,State-gov,Masters,Married,50,Female,White,0
43,Private,Masters,Married,45,Male,White,1
20,Private,HS-grad,Never-married,35,Male,Black,0
43,Private,11th,Divorced,40,Male,White,0
54,Local-gov,Bachelors,Divorced,40,Male,White,0
36,Federal-gov,Some-college,Separated,48,Male,Black,1
48,Private,Bachelors,Never-married,40,Male,White,1
48,Private,Doctorate,Never-married,40,Male,White,1
26,Private,HS-grad,Never-married,6,Male,Black,0
47,Local-gov,HS-grad,Divorced,50,Male,White,1
64,Self-emp-inc,Assoc,Married,48,Male,White,1
58,Self-emp-inc,Assoc,Married,40,Female,White,0
46,Private,HS-grad,Married,50,Male,White,1
24,Private,HS-grad,Never-married,32,Female,White,0
58,Private,Masters,Married,40,Male,White,1
57,Self-emp-not-inc,Bachelors,Married,40,Female,White,0
32,Private,Masters,Married,42,Male,White,1
31,Private,Bachelors,Married,25,Female,White,0
24,Private,12th,Never-married,45,Male,White,0
31,Private,Prof-school,Separated,40,Male,Black,0
36,Private,12th,Never-married,40,Male,White,0
47,Private,Some-college,Married,40,Male,White,1
25,Private,Assoc,Never-married,40,Female,White,0
50,Private,Some-college,Married,40,Male,White,0
43,Local-gov,Bachelors,Married,30,Female,White,0
65,Self-emp-not-inc,HS-grad,Widowed,20,Male,Black,0
43,Federal-gov,HS-grad,Divorced,40,Female,Black,1
28,Private,Bachelors,Married,45,Male,White,1
26,Private,Bachelors,Married,40,Female,White,0
40,Self-emp-not-inc,Some-college,Divorced,65,Female,Black,0
18,Private,11th,Never-married,10,Female,Black,0
32,Private,Bachelors,Married,43,Male,White,1
62,State-gov,Masters,Married,12,Female,Black,0
75,Self-emp-not-inc,Masters,Married,50,Male,White,1
43,State-gov,Bachelors,Married,40,Female,White,0
45,Self-emp-not-inc,HS-grad,Married,50,Male,White,0
62,Self-emp-inc,Bachelors,Married,60,Male,White,1
62,Private,Bachelors,Married,40,Female,White,0
59,Private,7th-8th,Married,60,Male,White,1
44,Private,Assoc,Widowed,38,Female,White,1
44,State-gov,Masters,Married,39,Male,White,1
40,Local-gov,Masters,Married,39,Female,White,0
54,Private,Masters,Married,50,Female,Black,1
57,Private,Some-college,Divorced,50,Male,Black,1
59,State-gov,Bachelors,Divorced,40,Male,Amer-Indian-Eskimo,1
39,State-gov,Assoc,Divorced,40,Female,White,0
35,Self-emp-inc,Some-college,Never-married,50,Male,White,0
38,Private,Some-college,Married,40,Female,White,0
39,Private,HS-grad,Married,40,Male,White,1
31,Private,Some-college,Married,40,Female,White,0
30,Private,Some-college,Married,40,Male,White,0
67,Self-emp-not-inc,HS-grad,Divorced,50,Male,White,0
59,Federal-gov,Some-college,Married,40,Male,Black,1
49,Private,Assoc,Widowed,40,Female,Black,0
67,Private,Some-college,Divorced,40,Female,White,1
54,Self-emp-inc,Masters,Married,16,Female,White,1
54,Self-emp-not-inc,Some-college,Married,50,Male,White,0
49,Private,Some-college,Married,40,Male,White,1
50,Private,Some-college,Married,40,Female,White,0
52,Private,Assoc,Married,36,Female,White,1
52,Private,Some-college,Married,40,Male,White,1
44,Private,Bachelors,Divorced,60,Female,White,1
20,Private,Some-college,Never-married,20,Female,White,0
50,Private,Bachelors,Married,40,Male,White,1
76,Self-emp-not-inc,Some-college,Widowed,5,Female,White,0
51,Self-emp-inc,Some-college,Divorced,65,Male,White,1
44,Self-emp-not-inc,HS-grad,Divorced,40,Male,White,0
58,Private,Some-college,Married,47,Male,White,1
25,Private,HS-grad,Never-married,40,Male,White,0
19,Private,HS-grad,Never-married,40,Male,White,0
17,Private,HS-grad,Never-married,35,Male,White,0
32,Private,Bachelors,Never-married,45,Male,White,0
57,Private,HS-grad,Married,28,Female,White,0
25,Private,10th,Never-married,40,Male,White,0
78,Self-emp-not-inc,Bachelors,Married,20,Male,White,1
67,Local-gov,Bachelors,Married,20,Male,Black,1
39,Private,Bachelors,Divorced,40,Male,Black,0
30,Private,Preschool,Never-married,45,Female,Black,0
19,Federal-gov,Some-college,Never-married,30,Female,White,0
28,Private,HS-grad,Never-married,30,Male,White,0
21,Private,HS-grad,Never-married,38,Male,White,0
22,Private,HS-grad,Never-married,40,Male,White,0
62,Self-emp-inc,Some-college,Married,80,Male,White,1
51,Private,Some-college,Married,40,Female,White,0
30,State-gov,Bachelors,Never-married,35,Female,White,0
59,Private,Assoc,Never-married,20,Male,Black,0
53,Private,Bachelors,Divorced,40,Male,White,1
54,Private,Some-college,Never-married,40,Male,White,0
31,Private,Some-college,Married,40,Male,Black,0
32,Private,Some-college,Married,40,Female,Black,0
52,Private,Assoc,Separated,60,Male,Black,1
87,Self-emp-not-inc,Bachelors,Widowed,10,Female,White,0
49,Private,HS-grad,Divorced,56,Male,White,0
25,Private,Masters,Never-married,20,Female,White,0
25,Private,Some-college,Married,10,Female,White,0
26,Self-emp-inc,HS-grad,Married,40,Male,White,0
71,Private,HS-grad,Married,8,Male,White,0
50,Private,Bachelors,Widowed,40,Female,White,1
29,Self-emp-inc,Some-college,Married,40,Male,White,1
65,Local-gov,Masters,Married,40,Female,White,0
44,Private,Some-college,Divorced,24,Female,Black,0
21,Private,Some-college,Never-married,30,Female,Black,0
19,Private,Some-college,Never-married,12,Male,Black,0
59,Private,HS-grad,Married,45,Male,White,1
53,Private,Some-college,Married,35,Female,White,0
49,State-gov,Doctorate,Married,40,Female,White,1
77,State-gov,Doctorate,Married,40,Male,White,1
37,Local-gov,Masters,Married,45,Female,White,1
41,Private,Bachelors,Married,50,Male,White,1
54,Private,HS-grad,Married,60,Male,White,1
45,Private,HS-grad,Married,40,Female,White,0
22,Private,HS-grad,Never-married,40,Female,White,0
26,Private,Assoc,Married,30,Female,White,0
31,Private,HS-grad,Married,45,Male,White,0
36,Private,Doctorate,Divorced,40,Female,White,0
17,Private,10th,Never-married,20,Male,White,0
72,Private,Some-college,Married,32,Male,White,1
64,Local-gov,HS-grad,Married,40,Female,White,0
20,Private,HS-grad,Never-married,55,Male,White,0
19,Private,HS-grad,Never-married,32,Female,White,0
40,Private,HS-grad,Married,40,Male,White,1
52,Private,Bachelors,Married,80,Male,White,0
49,Private,Bachelors,Married,40,Female,White,0
65,Private,Bachelors,Married,52,Male,White,1
18,Private,HS-grad,Never-married,35,Female,White,0
45,Private,Prof-school,Married,50,Male,White,1
38,Private,Some-college,Married,40,Female,White,0
38,Private,Some-college,Married,40,Male,White,0
42,Self-emp-not-inc,Bachelors,Never-married,7,Female,Other,0
46,Federal-gov,HS-grad,Married,40,Male,White,1
47,Federal-gov,Some-college,Married,40,Female,White,0
30,Local-gov,HS-grad,Never-married,40,Female,White,0
27,Private,HS-grad,Separated,25,Female,White,0
34,State-gov,HS-grad,Never-married,40,Male,White,0
25,Private,Bachelors,Married,50,Female,White,0
25,Private,Some-college,Married,45,Male,White,1
74,Private,Some-college,Married,40,Female,White,0
38,Private,HS-grad,Never-married,40,Male,Black,0
37,Private,HS-grad,Never-married,40,Female,Black,0
70,Self-emp-inc,Prof-school,Married,20,Female,White,1
36,Private,Some-college,Divorced,40,Male,White,1
29,Private,HS-grad,Never-married,40,Female,White,0
35,Private,Some-college,Divorced,42,Male,White,0
71,Private,HS-grad,Never-married,12,Male,White,0
49,Self-emp-not-inc,HS-grad,Married,8,Female,White,0
48,Private,7th-8th,Married,45,Male,White,1
27,Private,7th-8th,Never-married,40,Female,White,0
24,Private,7th-8th,Never-married,50,Male,White,0
18,Private,7th-8th,Never-married,50,Male,White,0
50,Private,Some-college,Married,30,Female,White,0
51,Local-gov,HS-grad,Married,20,Male,White,0
48,Private,HS-grad,Married,40,Female,White,0
27,Private,Bachelors,Never-married,26,Female,White,0
43,Private,Some-college,Never-married,40,Female,Black,1
31,Private,Bachelors,Never-married,40,Male,Black,1
57,Private,Assoc,Married,40,Female,White,0
66,Federal-gov,Bachelors,Married,40,Male,White,1
28,Private,Assoc,Never-married,40,Male,White,0
52,Federal-gov,Masters,Divorced,50,Male,Other,1
47,Private,Some-college,Divorced,40,Female,White,0
34,Private,Masters,Married,40,Male,White,1
29,Private,Bachelors,Married,32,Female,White,0
42,Local-gov,Bachelors,Married,40,Female,White,0
47,Private,Some-college,Married,40,Male,White,0
63,Private,Some-college,Married,40,Male,White,1
54,Private,Bachelors,Never-married,40,Female,White,1
38,Self-emp-not-inc,HS-grad,Married,40,Male,White,0
30,Private,Bachelors,Married,40,Female,White,0
58,Private,HS-grad,Married,50,Female,Black,0
35,Private,HS-grad,Married,40,Female,Black,0
26,Private,Bachelors,Never-married,40,Female,Black,1
28,Private,HS-grad,Married,40,Male,White,0
32,State-gov,Bachelors,Married,40,Female,White,0
33,Private,Some-college,Married,40,Male,White,0
43,Private,Bachelors,Divorced,40,Female,White,0
60,Private,HS-grad,Married,25,Female,White,0
63,Private,HS-grad,Married,46,Female,White,0
81,Local-gov,7th-8th,Married,40,Male,White,0
55,Private,12th,Married,40,Male,White,1
35,State-gov,HS-grad,Separated,40,Male,White,0
49,Private,Bachelors,Divorced,55,Male,White,1
35,Private,Assoc,Never-married,40,Female,Black,0
60,Self-emp-not-inc,10th,Married,15,Male,White,0
55,Self-emp-not-inc,10th,Married,44,Female,White,0
24,Private,Some-college,Never-married,7,Female,White,0
38,Private,10th,Never-married,26,Male,White,0
87,Private,5th-6th,Widowed,20,Female,White,1
33,Self-emp-not-inc,HS-grad,Never-married,25,Female,White,0
27,Private,Some-college,Never-married,40,Female,Black,0
60,Private,Bachelors,Married,40,Female,White,1
61,Private,Doctorate,Married,40,Male,White,1
32,Private,Masters,Married,40,Female,White,0
38,Private,Prof-school,Married,40,Male,White,1
32,Private,HS-grad,Divorced,40,Male,White,1
57,Private,Some-college,Married,37,Female,White,0
47,Private,Assoc,Married,40,Male,White,0
23,Private,Assoc,Never-married,38,Female,Black,0
23,Private,Bachelors,Never-married,20,Male,Black,0
34,Private,Masters,Married,40,Female,White,1
32,Private,Masters,Married,40,Male,White,1
57,Federal-gov,Some-college,Never-married,45,Male,White,1
40,Private,Bachelors,Married,55,Male,White,1
42,Private,Some-college,Married,40,Female,White,0
56,Private,Masters,Married,40,Female,White,1
57,Local-gov,Masters,Married,40,Male,White,1
58,Private,HS-grad,Married,40,Male,White,1
26,Private,Assoc,Never-married,48,Female,Black,0
34,Private,Bachelors,Married,40,Female,White,1
35,Private,Some-college,Married,40,Male,White,1
29,Private,9th,Never-married,67,Female,Black,0
45,Self-emp-not-inc,Assoc,Married,40,Female,White,0
84,Local-gov,Masters,Married,40,Female,Black,1
34,State-gov,Doctorate,Married,40,Male,White,1
41,Private,11th,Divorced,60,Male,White,1
33,Private,HS-grad,Divorced,25,Female,White,0
35,State-gov,Masters,Married,40,Male,Black,1
29,Private,Bachelors,Married,40,Female,Black,1
48,Private,HS-grad,Married,30,Female,White,0
54,Self-emp-not-inc,HS-grad,Married,50,Male,White,1
37,Private,Prof-school,Never-married,60,Female,White,1
26,Local-gov,Bachelors,Married,50,Female,White,0
29,Private,Masters,Married,50,Male,White,1
41,Private,Some-college,Never-married,60,Male,White,1
61,Local-gov,HS-grad,Married,40,Male,White,0
31,Private,HS-grad,Married,40,Female,White,0
23,Private,HS-grad,Married,40,Male,White,1
59,Private,Bachelors,Divorced,40,Female,White,0
52,Private,Doctorate,Divorced,40,Female,White,1
33,Private,Some-college,Never-married,50,Male,White,0
49,Private,Bachelors,Married,10,Female,White,0
46,Private,Bachelors,Married,40,Male,White,1
43,Private,11th,Never-married,40,Male,White,0
58,Private,Masters,Married,40,Female,White,0
38,Private,HS-grad,Married,38,Female,White,0
62,Private,Assoc,Married,40,Female,White,1
35,Private,Some-college,Married,50,Female,White,0
58,Self-emp-inc,Prof-school,Married,25,Male,White,1
50,Private,Prof-school,Married,50,Female,White,1
17,Private,10th,Never-married,6,Female,White,0
65,Private,HS-grad,Married,12,Male,White,0
31,Self-emp-not-inc,HS-grad,Never-married,40,Male,White,0
56,Private,Bachelors,Divorced,40,Male,White,1
51,Private,HS-grad,Divorced,45,Female,White,0
67,Local-gov,Assoc,Married,24,Female,White,1
50,Private,Bachelors,Married,40,Female,White,1
50,Self-emp-not-inc,Some-college,Married,40,Male,White,0
41,Self-emp-inc,HS-grad,Married,50,Male,White,0
35,Self-emp-not-inc,Some-college,Married,3,Female,White,0
46,Private,HS-grad,Married,25,Female,White,0
48,Private,Assoc,Married,40,Male,White,0
63,Private,Some-college,Divorced,40,Female,Other,1
41,Local-gov,Some-college,Married,40,Female,White,0
42,Private,HS-grad,Married,50,Male,White,1
58,Private,HS-grad,Married,53,Male,White,0
44,State-gov,Bachelors,Married,40,Female,White,0
44,Private,Some-college,Married,60,Male,White,1
17,Private,11th,Never-married,15,Male,White,0
62,Private,Masters,Married,45,Male,Black,1
62,Private,Masters,Married,45,Female,Black,1
61,Private,HS-grad,Widowed,40,Female,White,1
42,Federal-gov,Bachelors,Married,60,Female,White,1
40,Private,Bachelors,Married,45,Male,White,1
39,State-gov,Bachelors,Married,40,Female,White,0
39,Federal-gov,Bachelors,Married,40,Male,White,1
35,Federal-gov,Assoc,Married,40,Female,White,1
28,Private,Some-college,Never-married,45,Female,White,0
82,Local-gov,Bachelors,Married,16,Female,White,0
57,Self-emp-not-inc,HS-grad,Married,25,Female,White,0
52,Self-emp-not-inc,Assoc,Married,50,Male,White,1
22,Local-gov,Some-college,Never-married,20,Female,White,0
29,Private,Bachelors,Married,40,Male,White,0
27,Private,Assoc,Married,40,Female,White,0
37,Private,Bachelors,Married,24,Female,Black,0
46,Private,HS-grad,Married,56,Male,Black,1
66,Private,Assoc,Married,40,Female,White,0
43,Federal-gov,Bachelors,Divorced,40,Female,White,1
68,Local-gov,Assoc,Married,4,Male,White,1
48,Local-gov,Masters,Divorced,40,Female,Black,1
27,Private,Some-college,Never-married,40,Male,Black,0
25,Private,HS-grad,Never-married,40,Female,Black,0
50,Private,10th,Married,34,Female,White,0
27,State-gov,Bachelors,Married,40,Female,White,0
29,Federal-gov,Bachelors,Married,40,Male,White,1
31,State-gov,Bachelors,Married,40,Male,White,1
59,Private,Assoc,Married,40,Male,White,1
57,Private,Assoc,Married,40,Female,White,1
60,Private,HS-grad,Widowed,40,Female,Black,0
35,Private,Bachelors,Never-married,60,Male,White,1
26,Private,Bachelors,Never-married,40,Male,White,0
25,Private,Some-college,Never-married,50,Female,White,0
24,Private,Bachelors,Married,43,Female,White,0
24,Private,Bachelors,Married,38,Male,White,0
51,Self-emp-not-inc,Bachelors,Married,10,Female,White,0
51,Private,Bachelors,Married,55,Male,White,1
66,Private,HS-grad,Widowed,40,Female,White,0
61,Self-emp-inc,Doctorate,Married,32,Male,White,1
50,Without-pay,Some-college,Married,40,Female,Amer-Indian-Eskimo,0
20,Private,Some-college,Never-married,28,Male,Other,0
54,Private,12th,Married,85,Male,White,1
51,Private,Bachelors,Never-married,40,Male,White,0
49,Private,Bachelors,Married,40,Female,White,0
51,State-gov,Assoc,Married,40,Male,White,1
32,Local-gov,Bachelors,Married,40,Female,White,0
49,Private,Some-college,Married,40,Female,White,0
54,Private,Assoc,Married,56,Male,White,0
18,Private,11th,Never-married,28,Female,White,0
22,Private,Some-college,Never-married,45,Female,White,0
30,Private,HS-grad,Married,64,Male,White,0
62,Private,HS-grad,Married,40,Male,White,1
64,Private,Some-college,Married,40,Female,White,1
56,Private,Bachelors,Never-married,70,Male,White,1
57,Private,Some-college,Divorced,40,Female,White,0
52,Private,HS-grad,Married,40,Male,Black,1
28,State-gov,Some-college,Divorced,40,Female,Black,0
58,Private,Bachelors,Married,50,Female,White,1
61,Self-emp-not-inc,Bachelors,Married,1,Male,White,0
24,Private,Bachelors,Never-married,10,Female,White,0
35,Federal-gov,Assoc,Married,45,Male,White,0
32,Private,Bachelors,Married,40,Female,White,0
55,Local-gov,Some-college,Married,15,Female,White,0
61,Self-emp-not-inc,HS-grad,Married,20,Male,White,1
50,Private,Prof-school,Never-married,40,Male,White,1
52,Federal-gov,Assoc,Divorced,60,Female,White,0
24,Private,HS-grad,Never-married,6,Male,White,0
27,Private,Some-college,Never-married,40,Female,Black,0
55,Private,Bachelors,Divorced,50,Male,White,1
65,Private,Some-college,Married,40,Male,White,1
52,Private,Bachelors,Married,40,Female,White,1
52,State-gov,HS-grad,Divorced,40,Female,Amer-Indian-Eskimo,0
71,Private,Some-college,Divorced,8,Female,Black,0
35,Private,Bachelors,Separated,40,Female,White,0
75,Private,Some-college,Divorced,40,Female,White,0
22,Private,HS-grad,Married,40,Male,White,0
22,Private,HS-grad,Married,40,Female,White,0
33,Private,HS-grad,Never-married,45,Female,Black,0
56,Private,Bachelors,Married,40,Male,White,1
54,Private,Bachelors,Married,50,Female,White,1
49,Private,Bachelors,Married,40,Male,White,1
44,Private,HS-grad,Married,20,Female,White,0
46,Self-emp-not-inc,HS-grad,Married,60,Male,White,0
43,Private,12th,Married,32,Female,White,0
58,Private,Masters,Never-married,80,Female,White,1
30,Private,Some-college,Married,32,Female,White,0
31,State-gov,HS-grad,Married,40,Male,White,0
80,Private,Bachelors,Married,40,Female,White,1
30,Private,HS-grad,Never-married,50,Female,White,0
62,Private,10th,Married,60,Male,White,1
58,Private,10th,Married,32,Female,White,0
50,Private,HS-grad,Married,50,Male,Black,0
41,Private,HS-grad,Married,48,Female,Black,0
24,State-gov,HS-grad,Never-married,40,Male,Black,0
36,Private,HS-grad,Never-married,40,Male,White,0
37,Private,Some-college,Never-married,38,Female,White,0
50,Private,Bachelors,Married,50,Female,White,1
20,Private,Some-college,Never-married,15,Female,White,0
44,Private,HS-grad,Married,50,Female,Black,1
32,Private,Some-college,Never-married,45,Female,Black,0
35,Private,HS-grad,Never-married,40,Male,White,0
60,Private,11th,Married,43,Female,White,0
47,Private,Some-college,Married,25,Male,White,0
63,Private,HS-grad,Married,40,Male,White,1
35,Private,HS-grad,Married,45,Male,White,0
34,Private,Bachelors,Married,40,Female,White,1
61,Private,Some-college,Married,40,Female,White,1
60,Private,Bachelors,Divorced,40,Female,White,0
23,Private,12th,Never-married,18,Female,Other,0
30,Private,5th-6th,Separated,40,Male,Other,0
30,Private,HS-grad,Separated,40,Female,Other,0
69,Private,Bachelors,Married,16,Female,White,0
63,Self-emp-inc,Assoc,Never-married,30,Female,Black,0
24,Federal-gov,HS-grad,Never-married,45,Male,White,0
69,Self-emp-not-inc,HS-grad,Married,15,Male,Black,0
58,Private,Some-college,Married,40,Male,Black,1
50,Federal-gov,Bachelors,Married,40,Female,Black,0
20,Private,Some-college,Never-married,20,Female,Black,0
65,Private,Some-college,Married,30,Male,White,1
54,Private,HS-grad,Divorced,40,Male,White,1
37,Private,Bachelors,Divorced,50,Female,White,1
62,State-gov,Bachelors,Married,40,Male,White,0
42,Private,Some-college,Never-married,40,Male,White,1
26,Private,Bachelors,Married,40,Female,White,0
27,Private,HS-grad,Married,53,Male,White,0
60,State-gov,Bachelors,Divorced,15,Female,Black,1
57,Private,Some-college,Married,40,Female,White,0
60,Private,Some-college,Married,40,Male,White,0
39,Private,HS-grad,Married,45,Male,White,0
53,Private,HS-grad,Married,36,Female,White,0
61,Private,HS-grad,Married,50,Male,White,0
60,Local-gov,HS-grad,Married,40,Female,White,0
58,Private,Bachelors,Married,30,Female,White,0
60,Private,HS-grad,Married,45,Male,White,1
27,Federal-gov,Some-college,Married,40,Male,White,1
37,Federal-gov,Masters,Married,40,Female,White,1
27,Private,HS-grad,Separated,40,Female,Black,0
40,Private,Assoc,Divorced,50,Female,Black,0
39,Self-emp-not-inc,10th,Divorced,50,Male,Black,0
55,Private,Some-college,Married,40,Female,White,0
24,Private,Some-college,Married,30,Female,Black,0
66,Local-gov,Masters,Never-married,45,Female,White,1
27,Private,HS-grad,Never-married,32,Female,White,0
21,Private,Some-college,Married,25,Female,White,0
21,Private,HS-grad,Married,40,Male,White,0
63,Private,Some-college,Married,40,Male,Other,1
59,Private,Some-college,Widowed,60,Female,White,1
30,Private,Assoc,Never-married,40,Female,White,0
57,Private,HS-grad,Divorced,40,Female,Black,0
76,Private,Some-college,Married,40,Male,White,1
46,Private,Assoc,Married,50,Male,White,1
30,Private,HS-grad,Married,40,Male,Asian-Pac-Islander,0
60,Private,HS-grad,Divorced,40,Male,White,1
81,Private,Assoc,Divorced,8,Female,White,0
52,Private,HS-grad,Divorced,40,Female,Black,0
33,Private,11th,Never-married,40,Male,Black,0
36,State-gov,Bachelors,Married,40,Female,White,0
40,Private,Assoc,Married,45,Male,Amer-Indian-Eskimo,0
59,State-gov,Some-college,Married,40,Male,Black,0
59,State-gov,Some-college,Married,40,Female,Black,0
25,Private,Bachelors,Never-married,36,Female,Black,1
42,Private,HS-grad,Married,40,Female,White,0
50,Private,HS-grad,Married,20,Male,White,0
67,Self-emp-not-inc,Masters,Divorced,15,Female,White,1
69,Private,Some-college,Married,5,Male,White,0
65,Private,Some-college,Married,3,Female,White,0
61,Private,HS-grad,Divorced,40,Female,White,0
43,Private,HS-grad,Never-married,40,Male,White,0
42,Private,Assoc,Married,40,Male,White,0
38,Private,Bachelors,Married,40,Female,White,0
43,Local-gov,Masters,Divorced,40,Female,White,1
61,Private,Bachelors,Divorced,40,Male,White,1
55,State-gov,Some-college,Married,40,Female,White,0
50,State-gov,Bachelors,Married,60,Male,White,1
41,Private,Bachelors,Married,32,Female,White,1
44,Federal-gov,Bachelors,Married,40,Male,White,1
47,Private,Bachelors,Divorced,40,Male,Black,0
43,Federal-gov,HS-grad,Widowed,40,Female,Black,1
48,Private,Masters,Married,40,Female,White,0
53,Private,Some-college,Married,60,Male,White,1
36,Private,Some-college,Married,41,Female,White,0
38,Self-emp-inc,Some-college,Married,40,Male,White,0
28,Private,HS-grad,Married,50,Male,White,0
27,Private,HS-grad,Never-married,40,Male,White,0
29,Local-gov,HS-grad,Divorced,40,Female,White,0
54,Self-emp-inc,12th,Married,60,Male,White,0
40,Local-gov,HS-grad,Never-married,40,Male,White,0
29,Private,Assoc,Never-married,40,Female,Black,0
70,Private,Assoc,Married,32,Male,White,1
63,Local-gov,Masters,Married,40,Female,White,1
65,Private,10th,Married,50,Male,White,1
34,Private,Some-college,Never-married,40,Female,Black,0
26,Private,Some-college,Never-married,40,Male,Black,0
53,Private,Some-college,Never-married,40,Female,Black,0
54,Self-emp-inc,Prof-school,Married,45,Female,White,1
53,Self-emp-inc,Prof-school,Married,60,Male,White,1
36,Private,Some-college,Never-married,40,Male,White,0
60,Self-emp-not-inc,Prof-school,Divorced,40,Female,Black,0
25,Private,HS-grad,Never-married,35,Male,Black,0
52,Private,HS-grad,Never-married,25,Female,Black,0
57,Federal-gov,Bachelors,Divorced,40,Male,White,1
33,Private,Some-college,Never-married,40,Female,Black,0
60,Private,Doctorate,Married,80,Male,White,1
47,Local-gov,Bachelors,Married,60,Female,Amer-Indian-Eskimo,1
49,Private,Some-college,Married,40,Male,Amer-Indian-Eskimo,1
36,Private,Assoc,Married,40,Female,White,0
37,Private,Some-college,Married,40,Male,White,0
36,Private,Bachelors,Never-married,40,Male,White,1
62,Private,HS-grad,Divorced,25,Female,White,0
65,Private,Bachelors,Married,50,Male,White,1
57,Private,HS-grad,Married,40,Female,White,1
59,Private,HS-grad,Married,40,Male,White,0
50,Private,HS-grad,Divorced,30,Female,Black,0
31,Private,Some-college,Never-married,40,Male,Black,0
60,Private,Assoc,Married,40,Male,White,1
57,Private,Assoc,Married,36,Female,White,1
41,Private,Assoc,Divorced,40,Male,White,0
33,Self-emp-inc,HS-grad,Married,60,Male,White,0
34,State-gov,Bachelors,Married,40,Female,White,0
38,Private,HS-grad,Separated,40,Female,Black,0
23,Private,HS-grad,Never-married,40,Male,Black,0
19,Private,HS-grad,Never-married,8,Female,Black,0
