age,workclass,education,marital.status,race,sex,hours.per.week,income
50,State-gov,HS-grad,Married,White,Male,48,1
47,Private,HS-grad,Never-married,White,Female,40,0
24,Local-gov,11th,Never-married,Asian-Pac-Islander,Male,45,0
40,Private,Bachelors,Divorced,White,Female,45,1
36,Private,Bachelors,Married,White,Male,40,0
32,Private,HS-grad,Married,White,Male,40,0
44,Private,HS-grad,Married,White,Male,40,0
59,Federal-gov,Some-college,Never-married,Black,Female,40,0
65,Private,HS-grad,Married,White,Male,30,0
24,State-gov,Bachelors,Never-married,White,Female,65,0
27,Local-gov,Bachelors,Never-married,White,Male,35,0
51,Private,Assoc,Divorced,White,Male,40,0
48,Private,Some-college,Married,White,Male,40,1
39,Private,HS-grad,Married,White,Male,60,0
28,Private,Bachelors,Married,White,Male,40,0
19,Private,Some-college,Never-married,White,Female,25,0
49,Local-gov,Bachelors,Divorced,Black,Female,40,0
51,Local-gov,Assoc,Married-civ-spouse,White,Male,60,0
59,Private,Masters,Married,White,Male,55,0
18,Private,HS-grad,Never-married,White,Female,40,0
45,Federal-gov,HS-grad,Married,Black,Male,80,1
30,Local-gov,Bachelors,Married,White,Male,50,1
37,Private,Bachelors,Divorced,White,Male,35,0
44,Private,Bachelors,Never-married,White,Male,40,1
33,Private,Some-college,Married,Black,Male,40,0
61,Self-emp-inc,Masters,Married,White,Male,40,1
61,Local-gov,HS-grad,Married,White,Male,40,0
38,Private,Bachelors,Married,White,Male,42,1
36,Private,HS-grad,Married,White,Male,45,0
37,Private,Some-college,Separated,White,Male,62,0
31,Private,Some-college,Divorced,White,Female,20,0
20,Private,Some-college,Never-married,White,Male,16,0
38,Private,Prof-school,Married,White,Male,40,1
45,Self-emp-not-inc,HS-grad,Married,White,Male,40,1
48,Private,HS-grad,Married,White,Male,40,0
53,Private,Some-college,Married,White,Male,40,0
55,Private,HS-grad,Widowed,White,Female,40,0
29,Private,HS-grad,Never-married,White,Female,40,0
36,Private,Bachelors,Married,White,Male,60,1
42,Self-emp-not-inc,Some-college,Married,White,Male,60,0
50,Private,HS-grad,Divorced,White,Female,40,0
75,Self-emp-not-inc,Prof-school,Married,White,Male,35,0
52,Federal-gov,HS-grad,Divorced,White,Female,40,0
27,Private,Bachelors,Never-married,White,Female,40,0
43,Private,HS-grad,Married,White,Male,45,0
31,Private,11th,Separated,Black,Female,42,0
23,Private,Some-college,Never-married,White,Female,30,0
34,Private,HS-grad,Never-married,White,Female,24,0
41,Self-emp-not-inc,HS-grad,Married,White,Female,40,0
31,Private,HS-grad,Never-married,White,Female,30,0
42,Private,Some-college,Never-married,White,Female,40,0
35,Private,Masters,Never-married,White,Male,45,1
55,Private,HS-grad,Separated,White,Female,25,0
36,State-gov,HS-grad,Widowed,White,Female,40,0
65,Self-emp-not-inc,HS-grad,Married,White,Male,59,1
38,Local-gov,Some-college,Never-married,White,Male,12,0
62,Private,Some-college,Widowed,White,Female,20,0
49,Private,HS-grad,Divorced,White,Male,40,0
34,Private,HS-grad,Married,White,Female,40,0
32,Private,HS-grad,Never-married,White,Female,40,0
48,Self-emp-not-inc,Some-college,Married,White,Male,60,0
52,Federal-gov,HS-grad,Divorced,White,Female,43,0
29,Private,HS-grad,Married,Asian-Pac-Islander,Male,40,0
38,Private,Bachelors,Never-married,White,Female,50,0
57,Private,HS-grad,Married,White,Male,50,1
43,Federal-gov,Bachelors,Married,White,Male,40,1
37,State-gov,Some-college,Separated,White,Male,40,0
30,Private,HS-grad,Married,White,Male,40,0
53,Private,HS-grad,Married,White,Male,48,1
73,Private,HS-grad,Widowed,White,Female,37,0
22,Self-emp-inc,Some-college,Never-married,White,Male,35,0
31,Private,HS-grad,Never-married,White,Female,45,0
50,Self-emp-not-inc,Some-college,Married,White,Male,35,0
37,Private,Some-college,Married,White,Male,37,0
44,Local-gov,Bachelors,Divorced,White,Male,40,0
47,Private,Bachelors,Never-married,Black,Female,45,0
27,Private,Some-college,Married,White,Male,40,0
28,Private,Assoc,Never-married,White,Female,80,0
25,Private,HS-grad,Never-married,Black,Female,40,0
20,Private,Some-college,Never-married,White,Female,40,0
51,Local-gov,Bachelors,Married,White,Male,40,1
47,Private,HS-grad,Married,White,Male,35,0
42,Private,HS-grad,Married,White,Male,40,0
42,Federal-gov,Assoc,Divorced,Asian-Pac-Islander,Female,40,1
21,Private,Some-college,Never-married,Black,Male,10,0
46,Private,Some-college,Married,White,Male,40,0
57,Private,10th,Married,White,Male,40,0
37,Private,Bachelors,Never-married,White,Male,45,0
50,Private,HS-grad,Married,White,Male,40,0
63,Self-emp-not-inc,1st-4th,Widowed,White,Female,30,0
39,Private,HS-grad,Married,White,Male,65,0
46,Private,Masters,Married,Black,Male,35,0
36,Private,HS-grad,Married,White,Male,40,0
21,Private,Some-college,Never-married,White,Male,57,0
41,Private,Assoc,Married-civ-spouse,White,Male,40,0
44,Local-gov,Some-college,Never-married,Black,Male,40,0
22,Private,HS-grad,Married,White,Male,40,0
29,Federal-gov,Some-college,Never-married,Black,Male,60,0
29,Private,HS-grad,Never-married,Black,Female,40,0
58,Self-emp-inc,Some-college,Married,White,Female,40,1
36,Self-emp-not-inc,Prof-school,Married,White,Male,50,0
30,Private,Assoc,Married-civ-spouse,White,Male,48,0
37,Private,Bachelors,Married,White,Male,43,1
29,Private,Assoc,Never-married,White,Male,40,0
26,Private,5th-6th,Never-married,White,Female,40,0
43,Private,HS-grad,Married,White,Male,45,0
49,Private,HS-grad,Married,White,Female,40,1
45,Federal-gov,Bachelors,Married,White,Male,40,0
28,Private,Bachelors,Never-married,White,Female,40,0
51,Private,HS-grad,Divorced,White,Female,40,0
32,Private,Some-college,Married,White,Male,50,1
24,Private,HS-grad,Never-married,White,Female,40,0
41,State-gov,Bachelors,Married,White,Male,40,1
48,Private,Bachelors,Married,White,Male,45,1
20,Private,Some-college,Never-married,White,Male,30,0
27,Private,HS-grad,Never-married,White,Male,50,1
55,Private,Some-college,Married,White,Male,24,1
39,Private,HS-grad,Married,White,Male,40,1
52,Private,HS-grad,Widowed,Asian-Pac-Islander,Female,40,1
24,Private,HS-grad,Never-married,Black,Female,20,0
29,Private,11th,Never-married,Black,Female,40,0
25,Private,HS-grad,Never-married,White,Male,40,0
20,Private,Some-college,Never-married,White,Female,40,0
23,Private,HS-grad,Never-married,Black,Male,35,0
57,Private,Prof-school,Married,White,Male,60,0
51,Private,Assoc,Married-civ-spouse,White,Male,40,1
39,Private,Bachelors,Never-married,White,Male,40,0
40,Private,HS-grad,Married,White,Male,40,1
38,State-gov,Some-college,Married,White,Male,40,0
28,State-gov,Prof-school,Never-married,White,Male,40,0
57,Private,Masters,Married,White,Female,40,0
47,Private,Some-college,Divorced,White,Male,40,0
59,State-gov,HS-grad,Never-married,White,Male,40,0
26,Private,HS-grad,Never-married,Other,Male,40,0
35,Private,Bachelors,Never-married,White,Female,40,0
61,Self-emp-inc,Bachelors,Married,White,Male,50,1
34,Private,Some-college,Never-married,White,Male,50,1
42,Private,HS-grad,Separated,White,Female,40,0
39,Private,Some-college,Married,White,Male,40,0
58,Private,5th-6th,Divorced,Black,Male,40,0
40,Private,10th,Never-married,Black,Male,55,0
31,Private,Bachelors,Never-married,White,Male,37,0
36,Private,HS-grad,Never-married,White,Male,50,0
23,Private,Some-college,Never-married,White,Male,40,0
33,Private,HS-grad,Never-married,White,Male,41,0
52,Private,HS-grad,Married,White,Male,40,1
22,Private,HS-grad,Never-married,White,Female,24,0
51,Private,Some-college,Divorced,White,Female,40,0
31,Federal-gov,Assoc,Never-married,White,Female,40,0
49,Self-emp-inc,HS-grad,Divorced,White,Female,40,0
49,Private,HS-grad,Married,Black,Female,40,0
53,Federal-gov,Some-college,Widowed,Black,Female,40,0
20,Private,10th,Never-married,White,Male,40,0
26,Private,Assoc,Never-married,Black,Male,40,0
43,Private,Masters,Never-married,White,Female,30,0
46,Self-emp-inc,Bachelors,Married,White,Male,52,0
43,Local-gov,Assoc,Never-married,White,Female,35,0
41,Private,HS-grad,Divorced,Black,Female,40,0
44,Self-emp-not-inc,HS-grad,Married,White,Male,55,0
54,Private,HS-grad,Married,White,Male,40,0
32,Private,Bachelors,Divorced,White,Female,40,0
25,Private,Some-college,Separated,White,Male,40,0
23,Private,Bachelors,Never-married,White,Male,50,0
25,Local-gov,Bachelors,Never-married,White,Male,45,0
19,Private,Some-college,Never-married,White,Male,50,0
37,Self-emp-not-inc,HS-grad,Married,White,Male,60,0
45,Private,Some-college,Never-married,White,Male,45,0
37,Private,HS-grad,Never-married,Black,Male,44,0
17,Private,11th,Never-married,White,Male,5,0
27,Private,Bachelors,Never-married,White,Female,40,0
19,Federal-gov,HS-grad,Never-married,Black,Female,40,0
43,Private,10th,Never-married,Black,Male,40,0
42,Private,10th,Never-married,White,Male,40,1
54,Self-emp-not-inc,Masters,Married,White,Male,50,0
50,Private,HS-grad,Married,White,Male,60,1
40,Private,HS-grad,Never-married,White,Female,40,0
55,Private,Assoc,Married-civ-spouse,White,Male,25,0
50,Private,HS-grad,Divorced,White,Female,40,0
31,Private,HS-grad,Married,White,Male,50,0
24,Private,HS-grad,Married,White,Male,45,1
30,Private,11th,Divorced,White,Male,40,0
39,Local-gov,Assoc,Married-civ-spouse,White,Female,50,1
37,Private,HS-grad,Divorced,White,Male,50,0
33,Private,HS-grad,Married,White,Male,40,0
48,Private,HS-grad,Widowed,White,Female,40,0
43,Self-emp-inc,HS-grad,Married,Asian-Pac-Islander,Male,78,0
39,Private,Bachelors,Married,White,Male,40,1
53,Private,Some-college,Married,White,Male,45,1
52,Self-emp-not-inc,10th,Married,White,Male,60,0
28,State-gov,Some-college,Married,Asian-Pac-Islander,Male,20,0
32,Private,HS-grad,Never-married,White,Male,52,0
31,Private,Bachelors,Married,Black,Male,90,1
31,Private,Bachelors,Married,White,Female,40,1
47,Private,Some-college,Never-married,White,Female,40,0
40,Private,Assoc,Married-civ-spouse,Black,Male,40,0
40,Private,Assoc,Never-married,White,Female,45,0
41,Private,11th,Divorced,White,Male,40,0
53,Federal-gov,HS-grad,Married,Black,Male,40,0
46,Private,11th,Divorced,Amer-Indian-Eskimo,Male,43,0
19,Private,HS-grad,Never-married,White,Male,40,0
49,Private,Assoc,Married-civ-spouse,White,Female,40,0
59,Private,HS-grad,Divorced,White,Female,40,0
32,Private,Assoc,Divorced,White,Male,50,1
35,State-gov,Some-college,Never-married,Black,Male,40,0
58,Self-emp-inc,10th,Married,White,Female,40,0
28,Private,Bachelors,Never-married,White,Male,43,0
36,Federal-gov,Assoc,Married-civ-spouse,White,Female,40,1
41,Self-emp-not-inc,Masters,Divorced,White,Female,35,0
47,Private,HS-grad,Married,White,Male,40,1
36,Private,HS-grad,Married,White,Male,50,1
38,Private,Assoc,Divorced,White,Male,40,0
50,Private,Assoc,Married-civ-spouse,White,Male,45,0
44,Self-emp-not-inc,HS-grad,Married,White,Male,66,0
51,Private,Some-college,Married,White,Male,45,1
44,Self-emp-inc,Some-college,Married,White,Male,50,1
25,Private,HS-grad,Divorced,White,Male,50,0
60,Private,11th,Widowed,Black,Male,40,0
49,Self-emp-inc,Masters,Married,White,Male,50,1
46,Private,HS-grad,Married,Black,Male,60,1
56,Private,HS-grad,Widowed,Black,Female,38,0
22,Private,Some-college,Never-married,White,Male,40,0
41,Self-emp-inc,Prof-school,Married,White,Male,60,1
46,Private,10th,Never-married,Black,Male,40,0
30,Private,Some-college,Never-married,White,Male,40,1
39,Private,HS-grad,Married,White,Male,40,1
40,Private,10th,Divorced,Amer-Indian-Eskimo,Male,40,0
70,Federal-gov,HS-grad,Married,Black,Male,40,0
49,Private,Masters,Divorced,White,Female,75,0
24,Private,Assoc,Never-married,White,Male,60,0
61,Private,Prof-school,Married,White,Male,5,1
25,Private,Bachelors,Never-married,Asian-Pac-Islander,Male,40,0
28,Local-gov,Bachelors,Never-married,White,Female,40,0
69,State-gov,Masters,Married,White,Male,11,0
22,Private,Some-college,Never-married,White,Female,36,0
47,Private,HS-grad,Married,White,Male,38,0
38,Private,HS-grad,Divorced,White,Female,48,0
26,Private,Assoc,Never-married,White,Female,40,0
17,Private,11th,Never-married,Asian-Pac-Islander,Female,24,0
33,Self-emp-not-inc,Some-college,Never-married,White,Male,35,0
43,Self-emp-not-inc,HS-grad,Married,White,Male,40,0
58,Private,Assoc,Married-civ-spouse,White,Male,40,1
26,Private,HS-grad,Never-married,White,Male,25,0
43,Local-gov,Bachelors,Married,Black,Male,40,1
25,Private,HS-grad,Never-married,White,Female,25,0
57,Federal-gov,HS-grad,Divorced,White,Female,40,0
37,Private,Masters,Divorced,White,Male,60,1
32,Private,Some-college,Married,White,Male,48,0
26,Private,HS-grad,Divorced,White,Female,41,0
45,Private,HS-grad,Married,White,Male,40,1
27,Private,HS-grad,Never-married,Amer-Indian-Eskimo,Male,40,0
28,Self-emp-inc,11th,Married,White,Male,50,1
32,Private,11th,Divorced,White,Male,43,1
36,Self-emp-not-inc,Some-college,Married,White,Male,55,1
19,Private,Some-college,Never-married,White,Male,40,0
37,Self-emp-inc,Bachelors,Married,White,Male,80,1
20,Private,Some-college,Never-married,White,Male,45,0
32,Private,Assoc,Married-civ-spouse,White,Male,42,0
58,State-gov,HS-grad,Married,White,Male,40,0
42,Private,HS-grad,Married,White,Male,50,0
20,Private,Some-college,Never-married,Black,Female,14,0
42,State-gov,Some-college,Married,Black,Male,40,0
25,Private,Some-college,Married,Black,Male,40,0
37,Self-emp-inc,Bachelors,Married,White,Male,35,1
66,Self-emp-not-inc,Assoc,Married-civ-spouse,White,Male,50,0
59,Self-emp-inc,Bachelors,Married,White,Male,40,1
44,Private,Bachelors,Divorced,Asian-Pac-Islander,Male,40,0
46,Private,HS-grad,Married,White,Male,58,1
17,Local-gov,9th,Never-married,Black,Male,9,0
47,Local-gov,Bachelors,Married,White,Male,40,0
47,State-gov,9th,Divorced,White,Female,40,0
30,Private,Some-college,Divorced,White,Female,40,0
20,Private,Some-college,Never-married,White,Female,40,0
20,Private,Some-college,Never-married,Black,Male,15,0
33,Private,HS-grad,Divorced,White,Male,40,0
48,Private,HS-grad,Married,White,Male,40,0
37,Private,HS-grad,Divorced,White,Female,12,0
47,Private,HS-grad,Married,Black,Male,40,0
40,Private,10th,Married,White,Male,40,1
48,Private,Masters,Divorced,White,Female,40,1
49,Private,10th,Married,Black,Male,42,1
50,Private,Some-college,Divorced,White,Female,40,0
30,Private,Assoc,Never-married,White,Female,40,0
34,Private,Some-college,Married,White,Male,40,0
43,Private,HS-grad,Married,White,Male,40,0
22,Private,10th,Married,White,Female,40,0
35,Private,HS-grad,Separated,Black,Male,40,0
26,State-gov,HS-grad,Divorced,White,Female,30,0
39,Local-gov,HS-grad,Separated,White,Male,40,0
59,Local-gov,Some-college,Married,White,Male,40,0
27,Private,Bachelors,Married,White,Male,40,0
17,Private,10th,Never-married,White,Male,30,0
38,Private,Bachelors,Married,White,Male,40,0
27,Private,10th,Never-married,White,Female,40,0
23,Private,HS-grad,Never-married,White,Female,40,0
17,Private,10th,Never-married,White,Male,24,0
56,Private,7th-8th,Divorced,White,Female,40,0
24,Private,Some-college,Never-married,White,Female,40,0
44,Private,12th,Divorced,Black,Male,40,0
23,Private,Bachelors,Never-married,White,Male,30,0
25,Private,HS-grad,Never-married,White,Male,65,0
21,Private,Some-college,Never-married,Black,Female,8,0
18,Private,12th,Never-married,White,Male,6,0
45,Private,Some-college,Married,White,Male,40,0
51,Private,7th-8th,Married,White,Male,40,0
42,Federal-gov,HS-grad,Separated,Black,Female,40,0
47,Private,Some-college,Never-married,Black,Female,35,0
29,Private,Some-college,Married,White,Male,40,0
33,Private,11th,Never-married,Black,Male,40,0
43,Local-gov,Bachelors,Married,White,Male,40,0
24,Private,Some-college,Never-married,White,Male,30,0
19,Private,Some-college,Never-married,White,Male,40,0
52,Private,Assoc,Married-civ-spouse,White,Male,40,0
38,Self-emp-not-inc,HS-grad,Never-married,White,Male,52,0
24,State-gov,Some-college,Never-married,White,Male,50,0
32,Local-gov,Bachelors,Never-married,White,Male,50,0
26,Private,HS-grad,Married,White,Male,50,1
29,Private,Bachelors,Married,White,Male,50,0
48,Self-emp-not-inc,HS-grad,Married,White,Male,50,0
40,Private,Some-college,Married,White,Male,45,1
51,Private,Some-college,Divorced,White,Male,45,0
28,Self-emp-not-inc,HS-grad,Divorced,White,Male,40,0
22,Private,HS-grad,Never-married,White,Female,20,0
23,Private,Bachelors,Never-married,White,Female,40,0
65,Private,Some-college,Married,White,Male,16,0
26,Local-gov,Bachelors,Married,White,Male,40,0
38,Self-emp-not-inc,Bachelors,Married,White,Male,10,0
33,Private,HS-grad,Never-married,White,Male,60,1
33,Local-gov,HS-grad,Married,White,Female,60,0
37,Private,Bachelors,Never-married,Black,Female,40,0
19,Private,11th,Never-married,White,Male,60,0
24,Private,Bachelors,Never-married,White,Male,50,0
30,Private,11th,Married,White,Male,45,0
57,State-gov,HS-grad,Divorced,White,Female,50,0
22,State-gov,Some-college,Never-married,White,Female,20,0
57,Private,HS-grad,Married,Black,Male,40,1
46,State-gov,HS-grad,Married,White,Male,40,0
67,Private,HS-grad,Married,White,Male,35,0
47,Private,HS-grad,Separated,White,Male,40,0
39,Private,10th,Married,White,Male,40,0
50,Private,Some-college,Divorced,Asian-Pac-Islander,Male,40,0
58,Self-emp-not-inc,12th,Divorced,White,Female,52,0
36,Private,Assoc,Married-civ-spouse,White,Female,30,1
45,Private,Masters,Married,White,Male,36,1
54,Private,HS-grad,Married,White,Male,40,1
26,Private,Bachelors,Never-married,White,Male,30,0
60,Private,HS-grad,Married,White,Male,40,1
26,Private,Some-college,Married,White,Female,35,0
32,Private,11th,Never-married,White,Male,40,0
38,Local-gov,HS-grad,Married,White,Male,40,0
48,Self-emp-not-inc,Some-college,Married,White,Male,70,1
37,Private,HS-grad,Never-married,Asian-Pac-Islander,Female,40,0
44,Private,Some-college,Married,White,Male,40,0
31,Private,HS-grad,Never-married,Other,Female,35,0
61,Self-emp-not-inc,Prof-school,Married,White,Male,35,1
51,Private,HS-grad,Married,White,Male,40,0
67,Local-gov,HS-grad,Divorced,White,Female,24,0
40,State-gov,Assoc,Married-civ-spouse,White,Male,40,1
27,Private,5th-6th,Never-married,White,Male,35,0
37,Private,1st-4th,Married,White,Male,40,0
57,Private,Some-college,Married,White,Male,50,1
27,Private,10th,Divorced,White,Female,40,0
34,Self-emp-inc,Bachelors,Married,White,Male,60,1
52,Private,HS-grad,Divorced,Black,Female,38,0
42,Private,Bachelors,Married,White,Male,45,1
55,Self-emp-not-inc,Prof-school,Married,White,Female,10,0
71,Self-emp-inc,HS-grad,Married,White,Female,20,1
33,Private,Some-college,Married,Black,Male,40,0
30,Private,HS-grad,Married,White,Male,40,0
35,Private,Bachelors,Married,White,Male,55,1
59,Private,10th,Divorced,Black,Female,40,0
19,Private,Some-college,Never-married,White,Male,20,0
36,Self-emp-not-inc,9th,Married,White,Male,30,0
26,Self-emp-not-inc,HS-grad,Never-married,White,Male,40,0
34,Local-gov,HS-grad,Married,White,Male,40,0
41,Private,HS-grad,Married,Black,Male,40,1
47,Private,HS-grad,Married,White,Male,48,0
18,Private,Some-college,Never-married,White,Male,16,0
55,Self-emp-not-inc,10th,Married,White,Male,18,0
44,Private,Bachelors,Married,White,Male,40,1
43,Private,Bachelors,Never-married,White,Male,40,0
62,Private,7th-8th,Married,White,Male,40,0
44,Private,HS-grad,Married,Black,Male,40,0
50,Self-emp-inc,Some-college,Married,White,Male,60,1
35,Private,11th,Never-married,White,Male,45,0
52,Private,HS-grad,Married,White,Male,40,0
46,Private,Prof-school,Married,White,Male,60,1
43,Private,Some-college,Never-married,White,Male,50,0
20,Private,Some-college,Never-married,White,Male,20,0
47,Private,Assoc,Married-civ-spouse,White,Female,40,1
43,Private,Masters,Divorced,White,Male,50,0
24,Private,Some-college,Never-married,White,Male,40,0
27,Federal-gov,Some-college,Married,White,Male,50,0
32,Private,HS-grad,Married,White,Male,40,0
37,Private,HS-grad,Divorced,White,Female,12,0
26,Private,HS-grad,Married,White,Male,60,0
50,Private,HS-grad,Married,White,Female,40,0
20,Self-emp-not-inc,HS-grad,Never-married,White,Male,80,0
43,Private,HS-grad,Never-married,Black,Female,45,0
53,Private,9th,Divorced,White,Female,36,0
44,Private,Doctorate,Married,White,Male,40,1
25,Private,HS-grad,Never-married,White,Female,40,0
19,Private,HS-grad,Never-married,White,Male,50,0
44,Private,Some-college,Married,White,Male,50,0
49,Private,HS-grad,Married,White,Female,43,0
35,Private,Some-college,Married,White,Male,40,0
44,Private,HS-grad,Divorced,White,Male,45,0
54,Private,Masters,Married,White,Male,60,0
37,Private,Some-college,Divorced,Black,Female,35,0
18,Private,Some-college,Never-married,White,Female,15,0
24,Private,Some-college,Married,White,Male,40,0
29,Private,HS-grad,Divorced,White,Female,50,0
35,Private,HS-grad,Never-married,White,Male,40,0
56,Private,HS-grad,Married,White,Male,48,1
24,Private,Bachelors,Never-married,Asian-Pac-Islander,Male,45,0
73,Private,HS-grad,Widowed,White,Female,15,0
49,Private,12th,Married,White,Male,39,0
38,Private,Bachelors,Married,White,Male,40,1
31,Private,HS-grad,Married,Black,Male,40,0
39,Private,Some-college,Divorced,Amer-Indian-Eskimo,Female,40,0
42,Private,Bachelors,Divorced,White,Female,40,0
41,Private,Masters,Married,Asian-Pac-Islander,Male,45,1
35,Private,Bachelors,Married,White,Male,45,1
38,Private,HS-grad,Married,White,Male,45,0
31,Private,HS-grad,Divorced,White,Female,40,0
51,Local-gov,HS-grad,Married,White,Male,70,0
38,Private,Bachelors,Divorced,White,Male,48,1
40,Local-gov,Some-college,Married,White,Male,42,1
21,Private,HS-grad,Never-married,White,Female,30,0
44,Private,Some-college,Divorced,White,Male,40,0
55,Private,HS-grad,Married,White,Male,40,1
29,Private,HS-grad,Divorced,White,Male,45,0
49,Private,Masters,Married,White,Female,50,1
31,Private,Assoc,Married-civ-spouse,White,Male,42,0
46,Private,Some-college,Never-married,Black,Male,40,0
26,Private,HS-grad,Never-married,Black,Male,40,0
35,Private,Bachelors,Never-married,White,Male,38,0
27,Private,Assoc,Never-married,White,Male,50,0
26,Private,Bachelors,Never-married,White,Male,40,0
57,Local-gov,HS-grad,Married,White,Male,72,0
30,Private,Bachelors,Married,White,Male,40,1
45,Private,11th,Married,White,Female,32,0
50,Private,7th-8th,Divorced,White,Female,30,0
38,Private,Bachelors,Never-married,White,Female,40,0
43,Self-emp-not-inc,Some-college,Married,White,Male,60,0
42,Private,Some-college,Widowed,White,Female,55,0
32,Private,Bachelors,Never-married,White,Male,40,0
20,Private,HS-grad,Never-married,White,Female,40,0
27,Private,HS-grad,Never-married,White,Female,35,0
45,Private,11th,Widowed,White,Female,40,0
40,Private,HS-grad,Never-married,White,Female,40,0
38,Private,HS-grad,Divorced,White,Male,60,0
37,Private,HS-grad,Divorced,White,Female,40,0
60,Private,10th,Divorced,White,Female,40,0
53,Self-emp-not-inc,HS-grad,Married,Black,Male,45,1
25,Private,Bachelors,Married,White,Female,40,0
47,Self-emp-not-inc,Bachelors,Divorced,Asian-Pac-Islander,Male,60,0
40,Self-emp-not-inc,HS-grad,Never-married,White,Male,70,0
19,Private,Some-college,Never-married,White,Female,10,0
42,Private,Some-college,Married,White,Female,50,1
41,Private,Bachelors,Divorced,White,Female,40,0
28,Private,10th,Never-married,Black,Male,45,0
24,Private,HS-grad,Never-married,Black,Male,40,0
32,Private,11th,Married,White,Male,40,0
29,Private,HS-grad,Married,White,Male,40,0
49,Private,HS-grad,Married,Black,Female,40,1
31,Private,10th,Married,White,Male,40,0
23,Private,11th,Married,White,Male,40,0
37,Private,HS-grad,Married,White,Male,40,0
29,Private,10th,Never-married,White,Male,40,0
39,Private,Bachelors,Married,White,Male,50,1
35,Local-gov,Masters,Married,White,Female,35,1
40,Private,Assoc,Divorced,White,Female,40,0
66,Private,5th-6th,Married,White,Female,40,0
30,Federal-gov,9th,Married,White,Male,40,0
43,Private,Assoc,Divorced,White,Male,40,0
47,Private,9th,Never-married,White,Female,50,0
45,Private,Masters,Never-married,Asian-Pac-Islander,Female,40,0
31,Private,Some-college,Married,Black,Male,40,0
32,Private,Bachelors,Never-married,White,Male,40,0
28,Private,Assoc,Married-civ-spouse,Black,Male,40,0
50,Federal-gov,HS-grad,Married,White,Male,40,1
63,Private,7th-8th,Divorced,White,Female,40,0
28,Private,Bachelors,Married,White,Male,40,0
38,Private,Some-college,Widowed,Black,Female,40,0
52,Private,HS-grad,Divorced,White,Female,38,0
38,Self-emp-inc,Prof-school,Married,Asian-Pac-Islander,Male,40,1
50,State-gov,Masters,Never-married,White,Male,38,0
59,Private,11th,Married,White,Male,40,0
32,Private,HS-grad,Married,White,Male,49,0
52,Self-emp-inc,HS-grad,Divorced,White,Male,38,0
57,Private,HS-grad,Married,White,Male,60,0
51,Private,Bachelors,Married,White,Male,56,1
22,Private,11th,Widowed,Black,Female,35,0
49,Private,HS-grad,Married,White,Male,40,1
22,Private,HS-grad,Never-married,Black,Male,40,0
48,Private,HS-grad,Divorced,White,Female,40,0
43,State-gov,Bachelors,Married,White,Male,50,1
25,Private,7th-8th,Married,White,Male,40,0
31,Private,7th-8th,Never-married,White,Male,40,0
19,Private,Some-college,Never-married,White,Male,36,0
51,Private,HS-grad,Married,White,Male,84,1
51,Private,Bachelors,Divorced,White,Male,40,1
37,Local-gov,HS-grad,Divorced,Black,Female,35,0
19,Private,Some-college,Never-married,White,Female,30,0
45,Private,HS-grad,Divorced,White,Female,55,0
21,State-gov,Some-college,Never-married,White,Male,10,0
52,Private,HS-grad,Widowed,White,Female,40,0
46,Local-gov,Some-college,Married,White,Male,24,0
42,State-gov,Masters,Divorced,White,Female,38,0
56,Private,HS-grad,Never-married,White,Male,40,0
23,Private,HS-grad,Never-married,White,Female,40,0
58,Private,Masters,Married,White,Male,40,0
70,Private,HS-grad,Married,White,Male,30,0
30,Private,Some-college,Divorced,White,Male,40,0
45,Private,Bachelors,Married,Asian-Pac-Islander,Male,40,0
23,Private,Some-college,Never-married,White,Male,44,0
38,Private,Bachelors,Married,White,Female,40,0
24,Private,Assoc,Married-civ-spouse,White,Male,40,0
53,Private,7th-8th,Never-married,Amer-Indian-Eskimo,Male,40,0
21,Private,Some-college,Never-married,White,Female,40,0
34,Private,Bachelors,Never-married,White,Female,40,0
21,Private,HS-grad,Married,White,Male,40,0
23,Private,9th,Never-married,Black,Male,36,0
28,Private,Bachelors,Divorced,White,Male,50,0
29,Self-emp-not-inc,HS-grad,Never-married,Black,Male,45,0
25,Local-gov,Bachelors,Never-married,White,Female,40,0
44,State-gov,Masters,Never-married,White,Female,60,0
18,Private,HS-grad,Never-married,White,Female,8,0
26,Private,HS-grad,Never-married,White,Male,24,0
47,Local-gov,Assoc,Married-civ-spouse,White,Female,35,1
23,Private,HS-grad,Divorced,White,Male,40,0
46,Private,Some-college,Married,White,Male,40,0
25,Private,HS-grad,Never-married,White,Male,40,0
38,Local-gov,HS-grad,Married,Asian-Pac-Islander,Male,54,1
23,Private,Some-college,Never-married,White,Male,20,0
36,Federal-gov,HS-grad,Divorced,White,Female,48,0
46,Private,9th,Divorced,White,Male,25,0
32,Self-emp-not-inc,Bachelors,Married,White,Male,45,1
40,Private,10th,Married,White,Male,40,0
31,Private,HS-grad,Never-married,Black,Male,40,0
31,Private,Some-college,Married,White,Male,65,1
32,State-gov,Bachelors,Never-married,White,Male,37,0
21,Private,Some-college,Never-married,White,Male,10,0
63,Private,Some-college,Married,Black,Male,40,1
44,Private,Some-college,Separated,White,Male,45,1
42,Self-emp-not-inc,Bachelors,Married,White,Male,60,0
30,Private,Some-college,Divorced,White,Female,45,0
24,Private,HS-grad,Never-married,White,Male,40,0
42,Private,Bachelors,Married,White,Male,40,1
